Title,Severity,OWASP Category,CWE,Confidence,Affected URL,Status Code,Lifecycle Status,Validation Status,Evidence,Description,Recommendation
Open Network Port Detected: nexuslogixx.com:80,Info,A05: Security Misconfiguration,CWE-200,High,nexuslogixx.com:80,,Existing,Observed,TCP connection succeeded to nexuslogixx.com:80,TCP port 80 (HTTP) accepted a connection on nexuslogixx.com.,"Verify that the exposed service is required, patched, access-controlled, and restricted by firewall rules where appropriate."
Open Network Port Detected: nexuslogixx.com:443,Info,A05: Security Misconfiguration,CWE-200,High,nexuslogixx.com:443,,Existing,Observed,TCP connection succeeded to nexuslogixx.com:443,TCP port 443 (HTTPS) accepted a connection on nexuslogixx.com.,"Verify that the exposed service is required, patched, access-controlled, and restricted by firewall rules where appropriate."
Open Network Port Detected: nexuslogixx.com:8080,Info,A05: Security Misconfiguration,CWE-200,High,nexuslogixx.com:8080,,Existing,Observed,TCP connection succeeded to nexuslogixx.com:8080,TCP port 8080 (HTTP Alternate) accepted a connection on nexuslogixx.com.,"Verify that the exposed service is required, patched, access-controlled, and restricted by firewall rules where appropriate."
Open Network Port Detected: nexuslogixx.com:8443,Info,A05: Security Misconfiguration,CWE-200,High,nexuslogixx.com:8443,,Existing,Observed,TCP connection succeeded to nexuslogixx.com:8443,TCP port 8443 (HTTPS Alternate) accepted a connection on nexuslogixx.com.,"Verify that the exposed service is required, patched, access-controlled, and restricted by firewall rules where appropriate."
Missing Security Header: Strict-Transport-Security,Medium,A05: Security Misconfiguration,CWE-319,High,https://nexuslogixx.com,,Existing,Observed,HSTS header is missing. This helps enforce HTTPS connections.,HSTS header is missing. This helps enforce HTTPS connections.,Add Strict-Transport-Security header.
Weak Content Security Policy,Medium,A03: Injection,CWE-79,High,https://nexuslogixx.com/,200,Existing,Observed,default-src 'self'; script-src 'self' 'unsafe-inline' https://cdn.jsdelivr.net https://unpkg.com https://maps.googleapis.com https://challenges.cloudflare.com; style-src 'self' 'unsafe-inline' https://fonts.googleapis.com https://cdn.jsdelivr.net https://unpkg.com https://cdnjs.cloudflare.com data:; font-src 'self' data: https://fonts.gstatic.com https://cdn.jsdelivr.net https://unpkg.com https://cdnjs.cloudflare.com; img-src 'self' data: https: blob:; connect-src 'self' https://main-nexus-api-production.up.railway.app http://main-nexus-api-production.up.railway.app https://main-nexus-api-production.up.railway.app https://main-nexus-socket-production.up.railway.app http://main-nexus-socket-production.up.railway.app https://main-nexus-socket-production.up.railway.app ws://main-nexus-socket-production.up.railway.app wss://main-nexus-socket-production.up.railway.app http://localhost:3002 http://127.0.0.1:3002 http://localhost:3001 http://127.0.0.1:3001 ws://localhost:3001 ws://127.0.0.1:3001 wss://localhost:3001 wss://127.0.0.1:3001 https: wss:; frame-src 'self' https://www.google.com https://maps.google.com https://www.google.com/maps https://challenges.cloudflare.com; frame-ancestors 'none'; object-src 'none'; base-uri 'self';,"The Content-Security-Policy header contains risky directives: 'unsafe-inline', data:.","Tighten CSP directives and avoid unsafe inline script, unsafe eval, broad wildcards, and unnecessary data sources."
Information Disclosure in Header: Server,Low,A05: Security Misconfiguration,CWE-200,High,https://nexuslogixx.com/,200,Existing,Observed,Server: cloudflare,The response exposes server technology information: Server: cloudflare,Remove or minimize technology/version information from HTTP response headers.
Form Uses GET Method: Form #1,Medium,A02: Cryptographic Failures,CWE-598,High,https://nexuslogixx.com/,200,Existing,Observed,method=get action=https://nexuslogixx.com/,A form uses the GET method. Sensitive data may appear in URLs.,Use POST for forms that send sensitive information.
Detected Frontend Library: jquery 3.7.1,Info,A06: Vulnerable and Outdated Components,CWE-1104,Low,https://nexuslogixx.com/,200,Existing,Informational,/assets/js/jquery-3.7.1.min.js,The scanner detected jquery version 3.7.1 in resource: /assets/js/jquery-3.7.1.min.js,Check if this library version has known vulnerabilities and update if needed.
Interesting API Routes Exposed in Client Bundle,Info,A01: Broken Access Control,CWE-284,Low,https://nexuslogixx.com/_next/static/chunks/1255-8befde0980f5cba9.js,200,Existing,Informational,/api-reference/functions/use-search-params,"Client-side JavaScript exposes route names related to authentication, users, admin, or account data.",Verify server-side authorization on every API route; do not rely on hidden frontend routes for access control.
Interesting API Routes Exposed in Client Bundle,Info,A01: Broken Access Control,CWE-284,Low,https://nexuslogixx.com/_next/static/chunks/9176-ceb4fffc3c1d3ebf.js,200,Existing,Informational,"/api/auth/forgot-password, /api/auth/login, /api/auth/register, /api/auth/validate, /api/public-config, /login?expired=1","Client-side JavaScript exposes route names related to authentication, users, admin, or account data.",Verify server-side authorization on every API route; do not rely on hidden frontend routes for access control.
Missing Security Header: Strict-Transport-Security,Medium,A05: Security Misconfiguration,CWE-319,High,https://nexuslogixx.com/about,,Existing,Observed,HSTS header is missing. This helps enforce HTTPS connections.,HSTS header is missing. This helps enforce HTTPS connections.,Add Strict-Transport-Security header.
Weak Content Security Policy,Medium,A03: Injection,CWE-79,High,https://nexuslogixx.com/about,200,Existing,Observed,default-src 'self'; script-src 'self' 'unsafe-inline' https://cdn.jsdelivr.net https://unpkg.com https://maps.googleapis.com https://challenges.cloudflare.com; style-src 'self' 'unsafe-inline' https://fonts.googleapis.com https://cdn.jsdelivr.net https://unpkg.com https://cdnjs.cloudflare.com data:; font-src 'self' data: https://fonts.gstatic.com https://cdn.jsdelivr.net https://unpkg.com https://cdnjs.cloudflare.com; img-src 'self' data: https: blob:; connect-src 'self' https://main-nexus-api-production.up.railway.app http://main-nexus-api-production.up.railway.app https://main-nexus-api-production.up.railway.app https://main-nexus-socket-production.up.railway.app http://main-nexus-socket-production.up.railway.app https://main-nexus-socket-production.up.railway.app ws://main-nexus-socket-production.up.railway.app wss://main-nexus-socket-production.up.railway.app http://localhost:3002 http://127.0.0.1:3002 http://localhost:3001 http://127.0.0.1:3001 ws://localhost:3001 ws://127.0.0.1:3001 wss://localhost:3001 wss://127.0.0.1:3001 https: wss:; frame-src 'self' https://www.google.com https://maps.google.com https://www.google.com/maps https://challenges.cloudflare.com; frame-ancestors 'none'; object-src 'none'; base-uri 'self';,"The Content-Security-Policy header contains risky directives: 'unsafe-inline', data:.","Tighten CSP directives and avoid unsafe inline script, unsafe eval, broad wildcards, and unnecessary data sources."
Information Disclosure in Header: Server,Low,A05: Security Misconfiguration,CWE-200,High,https://nexuslogixx.com/about,200,Existing,Observed,Server: cloudflare,The response exposes server technology information: Server: cloudflare,Remove or minimize technology/version information from HTTP response headers.
Form Uses GET Method: Form #1,Medium,A02: Cryptographic Failures,CWE-598,High,https://nexuslogixx.com/about,200,Existing,Observed,method=get action=https://nexuslogixx.com/about,A form uses the GET method. Sensitive data may appear in URLs.,Use POST for forms that send sensitive information.
